lambda_nm,CR00_mono,CR_mono_t30_p+45,CR_mono_t30_p+135,CR_mono_t30_p-45,CR_mono_t30_p-135
450.0,10800.888315690787,2702.3748339649296,7123.539206335281,7123.539206335218,2702.3748339649446
470.0,11048.71936541719,11739.442289256573,4994.777004001828,4994.7770040018395,11739.442289256893
490.0,11335.032086120309,15600.246843407507,2029.2915465925073,2029.2915465925012,15600.246843407758
510.0,11652.768991605722,4251.855923205258,1061.817445571781,1061.817445571783,4251.855923205241
530.0,11996.466228964015,1835.7078870493403,670.037464585121,670.0374645851199,1835.7078870493312
550.0,12361.789977365584,1049.9951590259332,474.9263167066069,474.92631670660626,1049.9951590259325
570.0,12745.227281117279,700.4389757245145,363.21371572063214,363.21371572063146,700.4389757245133
590.0,13143.874998300964,513.4273329412939,292.7902905489138,292.7902905489128,513.427332941293
610.0,13555.292679986629,400.77178702456547,245.20349790847698,245.20349790847655,400.7717870245638
630.0,13977.398052196662,327.097537870016,211.32804623875688,211.32804623875646,327.09753787001597
650.0,14408.391462784793,275.93552737190447,186.21960116353293,186.21960116353236,275.9355273719041
